title,year,genres,imdb_rating,local_gross,worldwide_gross,budget,opening_weekend,url
Unknown Pleasures,2002,"['Back to top', 'Drama', 'Comedy']",6.8,"$11,254","$55,901",N/A,"$3,628",https://www.imdb.com/title/tt0318025/
Videoreul boneun namja,2003,"['Back to top', 'Drama', 'Romance']",6.6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0387670/
Kiss Me Much,2001,"['Back to top', 'Drama']",5.3,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0294353/
Gyodoso World Cup,2001,"['Back to top', 'Drama', 'Comedy']",4.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0297158/
Marrying School Girl,2004,"['Back to top', 'Comedy']",5.0,N/A,N/A,"$2,299,000 (estimated)",N/A,https://www.imdb.com/title/tt0452065/
Bet on My Disco,2002,"['Back to top', 'Drama', 'Musical', 'Comedy']",5.0,N/A,"$6,320,365",N/A,N/A,https://www.imdb.com/title/tt0317614/
Love Talk,2005,"['Back to top', 'Drama']",5.8,N/A,N/A,"$1,750,000 (estimated)",N/A,https://www.imdb.com/title/tt0487945/
Sweet Sex and Love,2003,"['Back to top', 'Drama']",5.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0365484/
Chimhyang,2000,"['Back to top', 'Drama']",6.9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0276001/
Tang shi,2003,"['Back to top', 'Drama']",6.4,N/A,"$1,949",N/A,N/A,https://www.imdb.com/title/tt0951302/
Byeol,2003,"['Back to top', 'Drama', 'Romance']",6.3,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0354440/
Cracked Eggs and Noodles,2005,"['Back to top', 'Drama', 'Comedy']",5.7,N/A,"$6,562,975",N/A,N/A,https://www.imdb.com/title/tt0448678/
Feathers in the Wind,2004,"['Back to top', 'Drama', 'Romance']",7.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0453085/
Yeongmae: san jawa jugeun ja-ui hwahae,2002,"['Documentary', 'Back to top']",6.6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0431478/
